Gender,Age,3rd,15th,50th,85th,97th
F,0,2.44,2.779,3.232,3.729,4.166
F,0.033,2.398,2.737,3.196,3.704,4.155
F,0.067,2.408,2.748,3.21,3.723,4.181
F,0.100,2.424,2.766,3.232,3.749,4.212
F,0.133,2.443,2.787,3.256,3.778,4.245
F,0.167,2.464,2.81,3.282,3.808,4.279
F,0.200,2.487,2.835,3.31,3.84,4.315
F,0.233,2.51,2.861,3.339,3.873,4.352
F,0.267,2.535,2.888,3.369,3.906,4.389
F,0.300,2.561,2.915,3.4,3.941,4.428
F,0.333,2.587,2.944,3.431,3.977,4.467
F,0.367,2.615,2.974,3.464,4.014,4.508
F,0.400,2.643,3.004,3.498,4.052,4.55
F,0.433,2.672,3.036,3.533,4.091,4.593
F,0.467,2.702,3.068,3.569,4.131,4.637
F,0.500,2.733,3.102,3.606,4.172,4.682
F,0.533,2.764,3.135,3.644,4.214,4.728
F,0.567,2.795,3.17,3.682,4.257,4.775
F,0.600,2.827,3.204,3.72,4.299,4.821
F,0.633,2.859,3.239,3.758,4.342,4.868
F,0.667,2.891,3.273,3.797,4.385,4.915
F,0.700,2.923,3.308,3.835,4.428,4.962
F,0.733,2.954,3.342,3.874,4.47,5.009
F,0.767,2.986,3.377,3.912,4.513,5.055
F,0.800,3.018,3.411,3.95,4.555,5.101
F,0.833,3.049,3.445,3.987,4.597,5.147
F,0.867,3.08,3.479,4.025,4.638,5.193
F,0.900,3.111,3.512,4.062,4.68,5.238
F,0.933,3.142,3.546,4.099,4.721,5.283
F,0.967,3.172,3.579,4.135,4.761,5.327
F,1,3.203,3.612,4.172,4.802,5.371
F,2,3.985,4.457,5.105,5.837,6.502
F,3,4.582,5.102,5.818,6.629,7.369
F,4,5.063,5.622,6.394,7.271,8.075
F,5,5.457,6.049,6.867,7.802,8.661
F,6,5.786,6.405,7.265,8.25,9.158
F,7,6.067,6.712,7.609,8.64,9.594
F,8,6.315,6.983,7.915,8.989,9.986
F,9,6.537,7.227,8.191,9.306,10.344
F,10,6.74,7.45,8.445,9.598,10.675
F,11,6.929,7.659,8.682,9.872,10.986
F,12,7.111,7.858,8.909,10.133,11.282
F,13,7.286,8.052,9.129,10.386,11.569
F,14,7.458,8.241,9.344,10.633,11.848
F,15,7.628,8.427,9.555,10.875,12.121
F,16,7.796,8.612,9.764,11.114,12.39
F,17,7.963,8.795,9.971,11.352,12.657
F,18,8.129,8.977,10.178,11.588,12.923
F,19,8.294,9.158,10.383,11.822,13.187
F,20,8.457,9.338,10.587,12.057,13.451
F,21,8.619,9.518,10.791,12.291,13.715
F,22,8.781,9.697,10.995,12.526,13.981
F,23,8.943,9.876,11.2,12.762,14.248
F,24,9.105,10.055,11.406,12.999,14.517
F,25,9.266,10.235,11.611,13.238,14.787
F,26,9.427,10.414,11.817,13.476,15.058
F,27,9.586,10.591,12.022,13.714,15.329
F,28,9.742,10.766,12.224,13.95,15.599
F,29,9.896,10.938,12.424,14.184,15.866
F,30,10.046,11.107,12.62,14.415,16.132
F,31,10.193,11.273,12.814,14.643,16.395
F,32,10.336,11.436,13.005,14.869,16.656
F,33,10.477,11.596,13.193,15.094,16.916
F,34,10.616,11.754,13.381,15.317,17.176
F,35,10.754,11.911,13.567,15.54,17.436
F,36,10.89,12.067,13.753,15.764,17.698
F,37,11.024,12.222,13.938,15.988,17.962
F,38,11.158,12.376,14.124,16.213,18.228
F,39,11.291,12.53,14.309,16.439,18.495
F,40,11.422,12.682,14.494,16.665,18.763
F,41,11.551,12.833,14.678,16.891,19.033
F,42,11.68,12.983,14.861,17.117,19.303
F,43,11.807,13.132,15.043,17.343,19.574
F,44,11.932,13.28,15.225,17.568,19.845
F,45,12.057,13.426,15.406,17.793,20.116
F,46,12.181,13.572,15.586,18.018,20.387
F,47,12.304,13.717,15.765,18.242,20.659
F,48,12.426,13.862,15.945,18.467,20.93
F,49,12.548,14.006,16.123,18.691,21.202
F,50,12.669,14.15,16.302,18.915,21.475
F,51,12.791,14.294,16.481,19.14,21.748
F,52,12.912,14.437,16.659,19.364,22.021
F,53,13.033,14.58,16.837,19.589,22.294
F,54,13.153,14.723,17.015,19.813,22.567
F,55,13.273,14.866,17.193,20.037,22.84
F,56,13.393,15.008,17.37,20.26,23.113
F,57,13.512,15.149,17.546,20.483,23.386
F,58,13.63,15.289,17.721,20.704,23.657
F,59,13.748,15.429,17.895,20.925,23.927
F,60,13.864,15.567,18.069,21.145,24.197
F,61,13.98,15.705,18.241,21.363,24.465
M,0,2.507,2.865,3.346,3.878,4.35
M,0.033,2.485,2.838,3.317,3.85,4.324
M,0.067,2.501,2.856,3.337,3.872,4.35
M,0.100,2.523,2.879,3.363,3.901,4.382
M,0.133,2.547,2.905,3.392,3.933,4.418
M,0.167,2.573,2.933,3.422,3.968,4.456
M,0.200,2.6,2.962,3.455,4.003,4.495
M,0.233,2.628,2.992,3.488,4.04,4.535
M,0.267,2.656,3.023,3.522,4.078,4.577
M,0.300,2.686,3.055,3.558,4.118,4.619
M,0.333,2.717,3.088,3.594,4.158,4.663
M,0.367,2.748,3.123,3.632,4.2,4.708
M,0.400,2.781,3.158,3.671,4.243,4.755
M,0.433,2.814,3.194,3.711,4.288,4.804
M,0.467,2.849,3.232,3.753,4.334,4.854
M,0.500,2.885,3.271,3.796,4.381,4.905
M,0.533,2.921,3.31,3.839,4.429,4.957
M,0.567,2.957,3.349,3.883,4.477,5.01
M,0.600,2.994,3.389,3.927,4.526,5.063
M,0.633,3.031,3.43,3.971,4.575,5.116
M,0.667,3.068,3.47,4.016,4.624,5.169
M,0.700,3.105,3.51,4.06,4.674,5.223
M,0.733,3.142,3.55,4.105,4.722,5.276
M,0.767,3.179,3.59,4.149,4.771,5.329
M,0.800,3.216,3.63,4.193,4.82,5.381
M,0.833,3.252,3.67,4.237,4.868,5.434
M,0.867,3.289,3.71,4.281,4.916,5.486
M,0.900,3.325,3.749,4.324,4.964,5.537
M,0.933,3.362,3.788,4.367,5.012,5.589
M,0.967,3.398,3.827,4.41,5.059,5.639
M,1,3.433,3.866,4.453,5.105,5.69
M,2,4.363,4.864,5.541,6.291,6.961
M,3,5.065,5.611,6.346,7.158,7.882
M,4,5.611,6.191,6.97,7.83,8.596
M,5,6.05,6.659,7.477,8.38,9.184
M,6,6.41,7.046,7.9,8.844,9.684
M,7,6.714,7.374,8.263,9.245,10.12
M,8,6.977,7.66,8.58,9.599,10.507
M,9,7.211,7.916,8.866,9.918,10.858
M,10,7.425,8.15,9.128,10.213,11.183
M,11,7.624,8.368,9.374,10.49,11.49
M,12,7.813,8.576,9.608,10.755,11.783
M,13,7.994,8.775,9.833,11.01,12.066
M,14,8.169,8.968,10.051,11.258,12.342
M,15,8.339,9.156,10.265,11.501,12.612
M,16,8.505,9.34,10.474,11.74,12.88
M,17,8.668,9.522,10.681,11.977,13.145
M,18,8.829,9.7,10.885,12.212,13.408
M,19,8.986,9.876,11.087,12.444,13.669
M,20,9.142,10.05,11.288,12.676,13.931
M,21,9.297,10.223,11.488,12.907,14.192
M,22,9.45,10.395,11.687,13.138,14.454
M,23,9.602,10.566,11.885,13.369,14.716
M,24,9.752,10.736,12.083,13.6,14.978
M,25,9.901,10.905,12.279,13.83,15.24
M,26,10.048,11.071,12.474,14.058,15.5
M,27,10.193,11.235,12.665,14.283,15.758
M,28,10.335,11.396,12.854,14.506,16.012
M,29,10.474,11.554,13.04,14.724,16.263
M,30,10.609,11.708,13.222,14.939,16.51
M,31,10.742,11.86,13.4,15.151,16.753
M,32,10.873,12.009,13.576,15.359,16.993
M,33,11.001,12.155,13.749,15.564,17.229
M,34,11.127,12.299,13.919,15.767,17.463
M,35,11.252,12.442,14.088,15.967,17.695
M,36,11.376,12.583,14.255,16.167,17.926
M,37,11.499,12.724,14.422,16.365,18.155
M,38,11.621,12.864,14.588,16.562,18.384
M,39,11.743,13.003,14.753,16.759,18.612
M,40,11.864,13.142,14.918,16.956,18.84
M,41,11.985,13.281,15.083,17.153,19.069
M,42,12.106,13.419,15.248,17.351,19.298
M,43,12.227,13.558,15.413,17.548,19.528
M,44,12.347,13.696,15.577,17.746,19.758
M,45,12.466,13.833,15.742,17.944,19.99
M,46,12.585,13.97,15.906,18.142,20.222
M,47,12.703,14.107,16.07,18.341,20.454
M,48,12.82,14.243,16.234,18.54,20.688
M,49,12.937,14.378,16.398,18.739,20.923
M,50,13.053,14.514,16.562,18.938,21.158
M,51,13.169,14.648,16.725,19.138,21.394
M,52,13.284,14.783,16.889,19.339,21.631
M,53,13.399,14.917,17.053,19.539,21.869
M,54,13.513,15.051,17.216,19.74,22.108
M,55,13.627,15.185,17.38,19.942,22.348
M,56,13.741,15.318,17.543,20.143,22.588
M,57,13.854,15.451,17.707,20.345,22.828
M,58,13.966,15.584,17.87,20.547,23.07
M,59,14.079,15.716,18.032,20.748,23.311
M,60,14.191,15.848,18.195,20.95,23.552
M,61,14.302,15.979,18.357,21.151,23.793