uuid,name,class,datatype,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5
,"COPD, Intake, Last Visit Date",Misc,Date,Last Visit Date,Date of Last Visit,,,,,,,,,
,"COPD, Intake, Previous followup location",Misc,Text,,,,,,,,,,,
,"COPD, Intake, Diagnosis Details, Diagnosis Status",Misc,Coded,Diagnosis Status,,,,,,No Previous Diagnosis,Diagnosis Confirmed Elsewhere,,,
,"COPD, Intake, Date Confirmed",Misc,Date,Date Confirmed,,,,,,,,,,
,"COPD, Intake, Diagnosis Location",Misc,Text,Diagnosis Location,,,,,,,,,,
,"COPD, Intake, Smoking history",Misc,Boolean,Smoking history,,,,,,,,,,
,"COPD, Intake, Packs per Day",Misc,Numeric,Packs per Day,,,,,,,,,,
,"COPD, Intake, Numbers of years",Misc,Numeric,Numbers of years since smoking,,,,,,,,,,
,"COPD, Intake, Non Smoker",Misc,Boolean,Non smoker (presumed indoor smoke inhalation),,,,,,,,,,
,"COPD, Intake, Diagnostic clues",Misc,Coded,Diagnostic clues,Dyspnea<br>Sputum<br>Chronic cough >3 months in 2 successive years <br>Wheezing<br>Chest tightness,,,,,Dyspnea,Sputum,Chronic cough > 3 months,Wheezing,Chest tightness
,"COPD, Intake, Note for All other",Misc,Text,All other diagnostic clues,,,,,,,,,,
,"COPD, Intake, Chest X-ray",Misc,Text,Chest X-ray,"<b>CXR features</b><br>- Increased radiolucency of the lung, a flat diaphragm<br>- Bullae, defined as radiolucent areas larger than one centimeter<br>- advanced disease â†’ cardiac shadow enlarged due to pulmonary hypertension and cor pulmonale",,,,,,,,,
,"COPD, Intake, Peak expiratory flow",Misc,Text,Peak expiratory flow,,,,,,,,,,
,"COPD, Intake, FEV1 / FVC",Misc,Text,FEV1 / FVC,,,,,,,,,,
,"COPD, Intake, CT Scan",Misc,Text,CT Scan,,,,,,,,,,
,"COPD, Intake, Family history of COPD",Misc,Boolean,Family history of COPD,,,,,,,,,,
,"COPD, Intake, On Beta blocker",Diagnosis,Boolean,On Beta blocker (salbutamol),,,,,,,,,,
,"COPD, Intake, On Ipratropium",Diagnosis,Boolean,On Ipratropium,,,,,,,,,,
,"COPD, Intake, On Oral steroid",Diagnosis,Boolean,On Oral steroid,,,,,,,,,,
,"COPD, Intake, On Antibiotics",Diagnosis,Boolean,On Antibiotics,,,,,,,,,,
,"COPD, Intake, All other current medicines",Misc,Text,All other current medicines,,,,,,,,,,
